"Time";"Indexed documents pod";"Indexer pods";"Rate"
"2019-12-10T08:30:20-05:00";null;null;null
"2019-12-10T08:30:35-05:00";null;null;null
"2019-12-10T08:30:50-05:00";null;null;null
"2019-12-10T08:31:05-05:00";null;null;null
"2019-12-10T08:31:20-05:00";null;null;null
"2019-12-10T08:31:35-05:00";null;null;null
"2019-12-10T08:31:50-05:00";null;null;null
"2019-12-10T08:32:05-05:00";null;null;null
"2019-12-10T08:32:20-05:00";null;null;null
"2019-12-10T08:32:35-05:00";null;null;null
"2019-12-10T08:32:50-05:00";null;null;null
"2019-12-10T08:33:05-05:00";null;null;null
"2019-12-10T08:33:20-05:00";null;null;null
"2019-12-10T08:33:35-05:00";null;null;null
"2019-12-10T08:33:50-05:00";null;null;null
"2019-12-10T08:34:05-05:00";null;null;null
"2019-12-10T08:34:20-05:00";null;null;null
"2019-12-10T08:34:35-05:00";null;null;null
"2019-12-10T08:34:50-05:00";null;null;null
"2019-12-10T08:35:05-05:00";null;null;null
"2019-12-10T08:35:20-05:00";null;null;null
"2019-12-10T08:35:35-05:00";31;2;null
"2019-12-10T08:35:50-05:00";74;2;0
"2019-12-10T08:36:05-05:00";null;null;0
"2019-12-10T08:36:20-05:00";33;2;0
"2019-12-10T08:36:35-05:00";112;2;1.44
"2019-12-10T08:36:50-05:00";189;2;3.368
"2019-12-10T08:37:05-05:00";270;2;4.767
"2019-12-10T08:37:20-05:00";349;2;5.245
"2019-12-10T08:37:35-05:00";431;2;5.333
"2019-12-10T08:37:50-05:00";511;2;5.311
"2019-12-10T08:38:05-05:00";596;2;5.449
"2019-12-10T08:38:20-05:00";677;2;5.467
"2019-12-10T08:38:35-05:00";748;2;5.267
"2019-12-10T08:38:50-05:00";825;2;5.089
"2019-12-10T08:39:05-05:00";905;2;5.067
"2019-12-10T08:39:20-05:00";983;2;5.222
"2019-12-10T08:39:35-05:00";1,070;2;5.444
"2019-12-10T08:39:50-05:00";1,150;2;5.444
"2019-12-10T08:40:05-05:00";1,232;2;5.533
"2019-12-10T08:40:20-05:00";1,305;2;5.222
"2019-12-10T08:40:35-05:00";1,387;2;5.267
"2019-12-10T08:40:50-05:00";1,467;2;5.222
"2019-12-10T08:41:05-05:00";1,550;2;5.444
"2019-12-10T08:41:20-05:00";1,628;2;5.356
"2019-12-10T08:41:35-05:00";1,713;2;5.467
"2019-12-10T08:41:50-05:00";1,787;2;5.267
"2019-12-10T08:42:05-05:00";1,870;2;5.378
"2019-12-10T08:42:20-05:00";1,952;2;5.289
"2019-12-10T08:42:35-05:00";2,032;2;5.445
"2019-12-10T08:42:50-05:00";2,113;2;5.382
"2019-12-10T08:43:05-05:00";2,188;2;5.244
"2019-12-10T08:43:20-05:00";2,261;2;5.089
"2019-12-10T08:43:35-05:00";2,340;2;5.044
"2019-12-10T08:43:50-05:00";2,425;2;5.267
"2019-12-10T08:44:05-05:00";2,510;2;5.533
"2019-12-10T08:44:20-05:00";2,589;2;5.533
"2019-12-10T08:44:35-05:00";2,670;2;5.444
"2019-12-10T08:44:50-05:00";2,756;4;5.022
"2019-12-10T08:45:05-05:00";2,857;4;4.764
"2019-12-10T08:45:20-05:00";2,967;4;5.423
"2019-12-10T08:45:35-05:00";3,068;4;6.038
"2019-12-10T08:45:50-05:00";3,171;4;6.766
"2019-12-10T08:46:05-05:00";3,277;4;6.672
"2019-12-10T08:46:20-05:00";3,386;4;6.941
"2019-12-10T08:46:35-05:00";3,485;4;6.866
"2019-12-10T08:46:50-05:00";3,591;4;6.97
"2019-12-10T08:47:05-05:00";3,690;4;6.708
"2019-12-10T08:47:20-05:00";3,792;4;6.756
"2019-12-10T08:47:35-05:00";3,892;4;6.622
"2019-12-10T08:47:50-05:00";4,000;4;6.867
"2019-12-10T08:48:05-05:00";4,096;4;6.756
"2019-12-10T08:48:20-05:00";4,202;4;6.889
"2019-12-10T08:48:35-05:00";4,315;4;7
"2019-12-10T08:48:50-05:00";4,416;4;7.111
"2019-12-10T08:49:05-05:00";4,517;4;6.977
"2019-12-10T08:49:20-05:00";4,618;4;6.711
"2019-12-10T08:49:35-05:00";4,711;4;6.533
"2019-12-10T08:49:50-05:00";4,815;4;6.489
"2019-12-10T08:50:05-05:00";4,922;4;6.622
"2019-12-10T08:50:20-05:00";5,022;4;6.778
"2019-12-10T08:50:35-05:00";5,124;4;6.867
"2019-12-10T08:50:50-05:00";5,219;4;6.6
"2019-12-10T08:51:05-05:00";5,332;4;6.822
"2019-12-10T08:51:20-05:00";5,427;4;6.667
"2019-12-10T08:51:35-05:00";5,531;4;6.867
"2019-12-10T08:51:50-05:00";5,629;4;6.6
"2019-12-10T08:52:05-05:00";5,728;4;6.689
"2019-12-10T08:52:20-05:00";5,822;4;6.467
"2019-12-10T08:52:35-05:00";5,931;4;6.711
"2019-12-10T08:52:50-05:00";6,025;4;6.6
"2019-12-10T08:53:05-05:00";6,129;4;6.822
"2019-12-10T08:53:20-05:00";6,234;4;6.733
"2019-12-10T08:53:35-05:00";6,332;4;6.822
"2019-12-10T08:53:50-05:00";6,430;4;6.689
"2019-12-10T08:54:05-05:00";6,535;4;6.689
"2019-12-10T08:54:20-05:00";6,640;4;6.844
"2019-12-10T08:54:35-05:00";6,752;4;7.156
"2019-12-10T08:54:50-05:00";6,835;4;6.667
"2019-12-10T08:55:05-05:00";6,921;6;5.711
"2019-12-10T08:55:20-05:00";7,041;8;5.405
"2019-12-10T08:55:35-05:00";7,160;8;5.827
"2019-12-10T08:55:50-05:00";7,277;8;6.415
"2019-12-10T08:56:05-05:00";7,398;8;6.832
"2019-12-10T08:56:20-05:00";7,511;8;6.894
"2019-12-10T08:56:35-05:00";7,638;8;7.441
"2019-12-10T08:56:50-05:00";7,750;8;7.358
"2019-12-10T08:57:05-05:00";7,867;8;7.491
"2019-12-10T08:57:20-05:00";7,987;8;7.333
"2019-12-10T08:57:35-05:00";8,097;8;7.379
"2019-12-10T08:57:50-05:00";8,216;8;7.534
"2019-12-10T08:58:05-05:00";8,345;8;7.739
"2019-12-10T08:58:20-05:00";8,461;8;7.995
"2019-12-10T08:58:35-05:00";8,586;8;8.135
"2019-12-10T08:58:50-05:00";8,708;8;8
"2019-12-10T08:59:05-05:00";8,824;8;8.024
"2019-12-10T08:59:20-05:00";8,935;8;7.756
"2019-12-10T08:59:35-05:00";9,058;8;7.778
"2019-12-10T08:59:50-05:00";9,167;8;7.467
"2019-12-10T09:00:05-05:00";9,281;8;7.533
"2019-12-10T09:00:20-05:00";9,392;8;7.244