"Time";"Indexed files";"Number of indexer pods"
"2019-12-08T21:07:30-05:00";null;null
"2019-12-08T21:08:45-05:00";null;null
"2019-12-08T21:10:00-05:00";null;null
"2019-12-08T21:11:15-05:00";13;null
"2019-12-08T21:12:30-05:00";23;2
"2019-12-08T21:13:45-05:00";23;null
"2019-12-08T21:15:00-05:00";36;2
"2019-12-08T21:16:15-05:00";53;null
"2019-12-08T21:17:30-05:00";63;2
"2019-12-08T21:18:45-05:00";73;null
"2019-12-08T21:20:00-05:00";83;2
"2019-12-08T21:21:15-05:00";93;null
"2019-12-08T21:22:30-05:00";103;2
"2019-12-08T21:23:45-05:00";119;null
"2019-12-08T21:25:00-05:00";129;2
"2019-12-08T21:26:15-05:00";139;null
"2019-12-08T21:27:30-05:00";140;2
"2019-12-08T21:28:45-05:00";149;null
"2019-12-08T21:30:00-05:00";159;2
"2019-12-08T21:31:15-05:00";170;null
"2019-12-08T21:32:30-05:00";180;2
"2019-12-08T21:33:45-05:00";190;null
"2019-12-08T21:35:00-05:00";200;2
"2019-12-08T21:36:15-05:00";210;null
"2019-12-08T21:37:30-05:00";219;2
"2019-12-08T21:38:45-05:00";220;null
"2019-12-08T21:40:00-05:00";231;2
"2019-12-08T21:41:15-05:00";246;null
"2019-12-08T21:42:30-05:00";256;3
"2019-12-08T21:43:45-05:00";266;null
"2019-12-08T21:45:00-05:00";266;3
"2019-12-08T21:46:15-05:00";276;null
"2019-12-08T21:47:30-05:00";286;3
"2019-12-08T21:48:45-05:00";296;null
"2019-12-08T21:50:00-05:00";102;1
"2019-12-08T21:51:15-05:00";null;null
"2019-12-08T21:52:30-05:00";null;null